X,Y,cell_label,theoretical_range,risk_category,n,n_projected
1,1,4,4,Critically At Risk,167,167
2,1,6,5-7,At Risk,0,7
3,1,8,8-11,Potentially Vulnerable,0,0
4,1,10,8-11,Potentially Vulnerable,0,9
1,2,6,5-7,At Risk,0,0
2,2,8,8-11,Potentially Vulnerable,0,1
3,2,10,8-11,Potentially Vulnerable,0,1
4,2,12,12-15,"Stable, Low Concern",0,3
1,3,8,8-11,Potentially Vulnerable,0,0
2,3,10,8-11,Potentially Vulnerable,0,3
3,3,12,12-15,"Stable, Low Concern",0,1
4,3,14,12-15,"Stable, Low Concern",0,8
1,4,10,8-11,Potentially Vulnerable,0,0
2,4,12,12-15,"Stable, Low Concern",0,3
3,4,14,12-15,"Stable, Low Concern",0,22
4,4,16,16,Secure,0,98
